text_id,text
text11,"15% eestimaalastest nentis värske uuringu kohaselt, et neilt on tööle kandideerides oodatud enamat kui vaid digitaalseid põhioskusi – küsitud on teadmisi andmeanalüüsist, oodatud on programmeerimisoskust või muid keerukamaid digioskusi."
text12,„Digitaalsest kirjaoskusest on saanud meie igapäevaelu osa. 
text13,Lähiaastatel hakkavad tööandjad üleüldise digipöörde tulemusena digioskustele veelgi enam tähelepanu pöörama.
text14,"On väga teretulnud, et täiskasvanud saavad tasuta kursustel nii oma praktilisi kui teoreetilisi IT-teadmisi arendada, kasvatades nii oma konkurentsivõimet. "
text15,"Nõudlus digiteenuste ja -oskuste järele on kiiresti kasvanud kõikjal Euroopa Liidus, nii ka Balti riikides, kus nii palgad kui tööjõuvajadus kasvavad kõige kiiremini just IT-sektoris."
text16,"ellest saavad aru ka töötajad: et oma professionaalseid oskusi edendada, on 31,8% Läti, 28,4% Leedu ja 25% Eesti elanikest värske uuringu kohaselt valmis oma digioskusi parandama."
text17,Vahemere Liidu konverentsil fookuses digipööre ja tuleviku digioskuste edendamine
text18,"Konverentsile kogunes 50 osalejat Euroopa ja Vahemere piirkonnast, kelle hulgas oli valitsusametnikke, erasektori esindajaid, ettevõtjaid, teadlasi ja teiste sidusrühmade esindajaid, et arutada mitmeid teemasid, nagu e-valitsemine, e-teenused, digimajandus ja digioskused."
text19,President Ilves tudengitele: inimeste digitaalne kirjaoskus on möödapääsmatu
text20,"“Kui digimaailm kolib üha enam nn pärismaailma või, täpsemalt öeldes, kui pärismaailm muutub digitaalseks, on iseenesestmõistetav, et kõik inimesed peavad omandama digitaalse kirjaoskuse,” ütles president Toomas Hendrik Ilves Tallinna Tehnikaülikooli aulas peetud avalikus loengus, kus ta analüüsis meie igapäevaelu paratamatut ja aina kiiremini kasvavat sõltuvust digimaailmast."
text21,Paananen: ka keskealistele töötajatele tuleks anda IKT oskused
text22,Skype Eesti endise juhi sõnul tuleks ka juba keskealistele töötajatele anda IKT oskused. 
text23,"“Me saame anda täiendavad IKT oskused, logistikutele, keeletehnoloogidele, kellele iganes,” ütles Paananen, kelle sõnul oleks just elukestev õpe üheks võtmesõnaks Eesti majanduse edendamisel ning rahvusvahelises konkurentsis hoidmisel."
text24,Kampaania eesmärk on tõsta kodanike teadlikkust tööalaste e-oskuste täiendamise vajadusest. 
text25,"Kampaania algatamise põhjuseks on üha kasvav nõudlus IKT (info- ja kommunikatsioonitehnoloogia) oskustega töötajate järele, mis on rahuldamata vaatamata kõrgele töötuse tasemele Euroopas. "
text26,"Kampaania näol on tegemist üleeuroopalise, mitut huvirühma liitva partnerlusega, mille eesmärgiks on vähendada puudujääki Euroopa elanike IKT-alastes oskustes ning aidata rakendada IKT potentsiaali tööhõive kujundamisel."
text27,"Kampaania põhirõhk on teadlikkuse tõstmisel haridusest, väljaõppest, töökohtadest ning teistest võimalustest, mis on kättesaadavad e-oskustega inimestele – inimestele, kes teavad, kuidas digitaaltehnoloogiat tõhusalt kasutada."
text28,"E-oskused on vajalikud väikeste või keskmise suurusega ettevõtete töötajatele, noortele inimestele ning tööturule siseneda soovivatele töötutele. Samuti on e-oskused üliolulised ettevõtetele, mis vajavad kõrgetasemelist tööjõudu. Kuna Euroopa võitleb pikaajalise majanduslangusega, on e-oskused majanduse jaluleaitamisel olulisemad kui kunagi varem. Heade e-oskustega inimesed mängivad keskset rolli uuendusliku ning konkurentsivõimelise Euroopa kujundamisel."
text29,Mida saame ühiselt teha IKT oskuste arendamiseks Eestis?
text30,"PIAAC-i uuring „Täiskasvanute oskused Eestis ja maailmas“, mis avaldati 8. oktoobril, toob selgelt esile vajaduse suurendada Eestis infotöötluse mahukate töökohtade arvu ja tõsta meie elanikkonna professionaalseid IKT oskusi."
text31,"Kui me teame, et valdav osa Eesti elanikkonnast kasutab pidevalt igapäevaseid e-teenuseid (Internetipank, tuludeklaratsiooni esitamine, jne) vaatamata sellele, et suurel osal inimestest puuduvad kõrgemad IKT-ga seonduvad probleemilahendusoskused, siis on see kinnituseks: meie e-teenused on mugavad ja kasutajasõbalikud. "
text32,"On ilmselge, et nõudmised töötajate oskustele kasvavad kiiresti. Palju sellest, mis viis aastat tagasi oli IT spetsialistide mängumaa, on täna vajalik kõigile arvutiga töötajatele. Vastavaid oskusi tuleb sihipäraselt õpetada nii noortele kui täiskasvanuile selleks, et olla edukas riikide konkurentsis."
text33,Vajalik on sihipärane IKT oskuste õpetamine ja hindamine alates põhikoolist. 
text34,"Tööstussektori juht, saada töötaja tasuta digioskuste koolitusele"
text35,"Majandus- ja kommunikatsiooniministeerium (MKM) viib Euroopa Sotsiaalfondi 2014–2020 toel ellu toetusskeemi „Digitaalse kirjaoskuse suurendamine“, mille käigus viiakse tuhandetele tööstussektori töötajale läbi tasuta koolitused digioskuste parandamiseks."
text36,Lähtuvalt antud eesmärgist tellis MKM digitaalse kirjaoskuse baaskoolituse tööstussektori töötajatele ning IKT-oskuste vajalikkust põhjendavad teadlikkuse tõstmise tegevused ettevõtete juhtidele – projekti nimi on DigiABC ja projekt viiakse ellu perioodil 2017-2020.
text37,Digioskuste puudumine takistab arengut
text38,Töötajate digitaalse kirjaoskuse puudumine on takistuseks tööalases arengus.
text39,"Üks sektor, kus digitaalne kirjaoskus võiks suurimat mõju avaldada, on just  töötlev tööstus. "
text40,TASUTA koolitusprogramm digioskuste arendamiseks
text41,"Google pakub koostöös Majandus- ja kommunikatsiooniministeeriumi (MKM), Ettevõtluse Arendamise Sihtasutuse (EAS) ja Maakondlike Arenduskeskustega kõigile huvilistele tasuta koolitusi, et suurendada nende teadmisi näiteks veebilehe või -poe arendamisest, digimaailmas nähtavuse tõstmisest, sotsiaalmeedia turundusest, digistrateegiate koostamisest ja paljust muust."
text42,"Lisaks annetab Google Eesti Ametiühingute Keskliidule 150 000 dollarit ehk umbes 125 000 eurot, et tõsta spetsiifilisemalt 1000 madalapalgalise töötaja digioskusi."
text43,Virtuaalne tööandjate teabepäev koolitustoetuse kohta töötajate IKT alaste oskuste arendamiseks
text44,Käesolevast aastast saab töötukassalt taotleda koolitustoetust töötajate informatsiooni- ja kommunikatsioonitehnoloogia (IKT) alaste oskuste arendamiseks. 
text45,"Kutsekojal valmis uuring, mis annab ülevaate, milliste digioskuste järele erinevates majandusvaldkondades vajadus kasvab ja milliseid IKT oskusi tasub töötajatele õpetada. "
text46,"Võib oletada, et peamiseks põhjuseks on väikeettevõtjate (eriti mikroettevõtjate) väiksem haldussuutlikus ning vajalike kompetentside puudumine (muuhulgas puudub paljudel mikroettevõtjatel piisav arvutikasutamise oskus ja/või piisavad vahendid ettevõttevälise teenuse sisseostmiseks)."
text47,"15% eestimaalastest nentis värske uuringu kohaselt, et neilt on tööle kandideerides oodatud enamat kui vaid digitaalseid põhioskusi – küsitud on teadmisi andmeanalüüsist, oodatud on programmeerimisoskust või muid keerukamaid digioskusi."
text48,Äriandmete analüüsi oskusi saab omandada kursusel “Äri- ja andmeanalüüs”
text49,Uuring kinnitab meie noorte tipptasemel oskusi funktsionaalses lugemisoskuses ja matemaatilises kirjaoskuses. 
text50,Suure pildi nägemises ja muutuse elluviimisel on inimesel jätkuvalt juhtroll ning sellele tänavu keskendumegi.
text51,"Veel rõhutab RIA kahte asja. Esiteks soovitatakse ettevõtetel hinnata, milliseid dokumente üldse on vaja üle tembeldada ning kas kinnitada dokumente templiga ühe- või sajakaupa."
text52,"Aga ka käsu koostamise ja andmise oskus on tsiviilelus kasulik, sest tegu on konkreetse juhisega ülesande lahendamiseks ning selle andmisega kaasneb ka enesekindlus ja usk sellesse, et ülesanne saab lahendatud."
text53,"Sealjuures on oluline osata enda õpikogemusi mõtestada, mida väärtuslikku saadi ja kuidas seda rakendada."
text54,"Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben."
text55,Uuring kinnitab meie noorte tipptasemel oskusi funktsionaalses lugemisoskuses ja matemaatilises kirjaoskuses. 
text56,"Levinud on müüt, et IT-sektoris töötamiseks on vaja väga head matemaatikaoskust. "
text57,"„Kõrgharidus on läinud liiga „pehmeks“ ja kui matemaatikat ei õpita, siis inseneriks ei saada.“ Veskimägi rääkis ka võõrtööliste värbamise kitsaskohtadest nii riiklikul kui ettevõtte tasandil."
text58,"See on väga hea ja positiivne alus, kust kõrgemaid probleemilahenduse ja tehnoloogia kasutuse oskusi edasi arendada. "
text59,"Personali hulgas korraldati küsitlus, millest muu hulgas selgus, et suurenenud oli arusaamine ettevõtte eesmärkidest, stressiga toime tulemise oskus ja soov panustada raskemate probleemide lahendamisse."
text60,"Tegelikult on märksa olulisem probleemi lahendamise oskus ja tahe õppida, aga ka julgus eksperimenteerida ja eksida. "
text61,"Tema tugevusteks on koostööle orienteeritus, uuendusmeelsus ning oskus lahendada probleeme kõigile osapooltele sobivalt."
text62,Töökohtades võib kujundada n-ö õpipesasid ja korraldada virtuaalseid õpiringe või juhendatud probleemi lahendamise arutelusid.
text63,TEPP koostööplatvorm ilmestab hästi Eesti kerksust ning oskust vastata kriisidele ja väljakutsetele uuenduslike lahendustega. 
text64,"Tegelikult on märksa olulisem probleemi lahendamise oskus ja tahe õppida, aga ka julgus eksperimenteerida ja eksida. "
text65,"EY Aasta Ettevõtja konkursi patroon president Alar Karis lausus oma videotervituses, et Eesti ettevõtjad on vastupidavad ja sihikindlad, kes oskavad näha ja kasutada uusi võimalusi ka seal, kus teised käega löövad."
text66,"Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben."
text67,Suure pildi nägemises ja muutuse elluviimisel on inimesel jätkuvalt juhtroll ning sellele tänavu keskendumegi.
text68,"näidata, et kolmikpöörde kriitiline eeldus on juhtimise kvaliteet ja muutuse juhtimise oskus;"
text69,"Meeskonnaliikmed arendavad oma teadmisi järgmistes ärivaldkondades:
Turundus- ja müügijuhtimine
Ostu- ja logistika juhtimine
Tootmise- ja kvaliteedijuhtimine
Finantsjuhtimine
Personalijuhtimine"
text70,"Oskuse luua selge ja kaasav strateegia, saavutada inimeste pühendumus, et viia ellu püstitatud eesmärgid ning juhtida muutusi."
text71,"Meil on hea meel teada anda, et EAS pakub koos Majandus- ja Kommunikatsiooniministeerumiga sellel kevadel teile personaalseid koolitusi oma organisatsiooni turundusvõimekuste ja kommunikatsioonioskuste arendamiseks.  "
text72,Turunduskoolituse eesmärk on anda osalejatele edasi praktilisi oskusi ja nippe oma organisatsiooni turundustegevuste elluviimiseks (kas turundustegevusi ise tehes või olles tark tellija).
text73,"Tasub tuua esile oma toote eelised ja faktorid, miks see eristub turul olevatest toodetest."
text74,"Suhtles aktiivselt, leidis õige Prantsuse esindaja, panustas ja panustab endiselt sotsiaalmeediasse, toodete degustatsioonidesse, erinevatesse võimalustesse tooteid esile tõsta."
text75,"Ei tasu unustada, et poeketti saamine on vaid esimene etapp, seejärel tuleb sama intensiivselt panustada sellesse, et toode riiulitel püsiks."
text76,"Meeskonnaliikmed arendavad oma teadmisi järgmistes ärivaldkondades:
Turundus- ja müügijuhtimine
Ostu- ja logistika juhtimine
Tootmise- ja kvaliteedijuhtimine
Finantsjuhtimine
Personalijuhtimine"
text77,"Google pakub koostöös Majandus- ja kommunikatsiooniministeeriumi (MKM), Ettevõtluse Arendamise Sihtasutuse (EAS) ja Maakondlike Arenduskeskustega kõigile huvilistele tasuta koolitusi, et suurendada nende teadmisi näiteks veebilehe või -poe arendamisest, digimaailmas nähtavuse tõstmisest, sotsiaalmeedia turundusest, digistrateegiate koostamisest ja paljust muust."
text78,"Facebookil on nüüd Eestis oma esindaja, kes kutsus EVEAd Facebookiga koostööd tegema, et aidata väikeettevõtjatel parandada oma digiturunduse ja e-kauplemise oskusi sotsiaalmeedias."
text79,"Ära jäta kasutamata võimalust omandada oskused, kuidas arendada oma äri veebis!"
text80,"Meil on hea meel teada anda, et EAS pakub koos Majandus- ja Kommunikatsiooniministeerumiga sellel kevadel teile personaalseid koolitusi oma organisatsiooni turundusvõimekuste ja kommunikatsioonioskuste arendamiseks.  "
text81,"Kommunikatsioonikoolitus on mõeldud neile, kelle tööülesannete hulka kuulub organisatsiooni tegevuste, saavutuste, eesmärkide jne osas info suuremale avalikkusele edastamine."
text82,"Suhtles aktiivselt, leidis õige Prantsuse esindaja, panustas ja panustab endiselt sotsiaalmeediasse, toodete degustatsioonidesse, erinevatesse võimalustesse tooteid esile tõsta."
text83,"Ühiselt vaadatakse üle, kuidas ja milline eesmärkide puu luua ning kuidas tulemusi hinnata ning tagada edusammudega seotud kommunikatsioon."
text84,"Ühest küljest on oluline oma valdkonda tunda ja teisalt peaks seda sisu suutma ka oma õpilastele nii edasi anda, et nad nende teadmiste ja oskustega töökeskkonnas toime tuleks."
text85,"Aktiivse ja innuka uuendajana lööb tema silm kohe särama, kui on võimalik lastele millegi uue õpetamisel kasutada uudseid meetodeid ja vahendeid."
text86,"Ühest küljest on oluline oma valdkonda tunda ja teisalt peaks seda sisu suutma ka oma õpilastele nii edasi anda, et nad nende teadmiste ja oskustega töökeskkonnas toime tuleks."
text87,"Kutseõppe juhid peavad suutma kutseõpetajaid motiveerida pikaajaliselt, korraldama töö nii, et anda aega pidevaks enesearenguks ja täiendamiseks ning proovida minimaliseerida läbipõlemist."
text88,Meeskondade juhtimine nõuab sootuks teistmoodi oskusi kui produktiivsuse kasvatamine ja tootmisliini timmimine. 
text89,"Kui varem sooviti kedagi, kes ütleb, kuidas tuleb teha ja kui mitu korda, siis nüüd eelistatakse neid juhte, kes lasevad endal mõelda ja samas toetavad töötajaid (põhimõte coach vs. Boss). "
text90,Tulemuslik meeskonnajuhtimine kaugtööl
text91,"Veebiseminaril räägib Indrek Maripuu, kuidas efektiivselt juhtida sõltumata sellest, kus meeskonnaliikmed tööd teevad."
text92,"Kõige suurem proovikivi on järelkasvu tagamine nii, et inimesed, kes jätkavad organisatsioonis pärast sind, on tunduvalt paremad või vähemalt sama head, et tagada organisatsiooni areng ja püsimajäämine. Sellega on seotud ka oma meeskonna eest hoolitsemine."
text93,"Kindlasti juhtimiskogemused ja -oskused, sest me koolitame suurest osast noortest juhte."
text94,"Võtmesõnad on märkamine ja töötajaga suhtlemine, seda nii igapäevatöös kui ka juhina regulaarselt selleks aega võttes."
text95,"Päeva tulemusena arendate:
Meeskonnatööd
Strateegilist mõtlemist
Juhtimisoskust
Otsustusoskus"
text96,"Kutseõppe juhid peavad suutma kutseõpetajaid motiveerida pikaajaliselt, korraldama töö nii, et anda aega pidevaks enesearenguks ja täiendamiseks ning proovida minimaliseerida läbipõlemist."
text97,"Kui küsida juhtidelt, kuidas motiveerida töötajaid, siis kõige rohkem vastatakse, et tuleb palka juurde panna. "
text98,Tegelikult on meie töö ikkagi suures osas seotud läbirääkimiste ja koostööga ning seda me ka õpetame. 
text99,Marje on innustanud õpilasi läbi viima erinevaid koostööprojekte.
text100,"Oskuse luua selge ja kaasav strateegia, saavutada inimeste pühendumus, et viia ellu püstitatud eesmärgid ning juhtida muutusi."
text101,"Kutseõppe juhid peavad suutma kutseõpetajaid motiveerida pikaajaliselt, korraldama töö nii, et anda aega pidevaks enesearenguks ja täiendamiseks ning proovida minimaliseerida läbipõlemist."
text102,"Meeskonnaliikmed arendavad oma teadmisi järgmistes ärivaldkondades:
Turundus- ja müügijuhtimine
Ostu- ja logistika juhtimine
Tootmise- ja kvaliteedijuhtimine
Finantsjuhtimine
Personalijuhtimine"
text103,"5 kauneima Eesti lasteraamatu žürii esinaine Anu Kalm rõõmustab ilusate lasteraamatute rohkuse üle ning nendib, et nutiajastul on üha olulisem visuaalne kirjaoskus, oskus valida sobivat kirjatüüpi ning kõike tervikuks kokku panna."
text104,"Võistlused kestavad mitu päeva ning igal võistlusalal hinnatakse nii tehnilist sooritust, meeskonnatööd kui ka suhtlemist ja oskust töötada projektidega."
text105,"Diana ütles, et ettevõtted võiksid rohkem teha koostööd. Näiteks klientide koos teenindamine ja selles ühisosa leidmine võiks olla mõlemale poolele kasulik."
text106,"Äri tehakse inimeste vahel. Naiste tugevuseks on sotsiaalsed oskused, mis tulevad ärimaailmas alati kasuks."
text107,"Me anname neile planeerimisoskuse, grupidünaamikast arusaamise ja veel väga palju teoreetilisi teadmisi."
text108,Tegelikult on meie töö ikkagi suures osas seotud läbirääkimiste ja koostööga ning seda me ka õpetame. 
text109,"Kolmandaks oskavad nad kollektiivis toime tulla ja on orienteeritud meeskonnatööle, et täita ühist eesmärki."
text110,"Meie noored oskavad üksteisega paremini arvestada ja stressirohketes olukordades toime tulla nii, et meeskond jätkab efektiivset tegutsemist."
text111,"Tema tugevusteks on koostööle orienteeritus, uuendusmeelsus ning oskus lahendada probleeme kõigile osapooltele sobivalt."
text112,"Võttes arvesse logistikasektori ettevõtete sidusust äriprotsesside läbiviimisel tarneahelas, samuti paralleelsete tarneahelate olemasolu, on koostöö kaudu võimalik luua märgatavat ressursside kokkuhoidu ning tõsta efektiivsust."
text113,Varasemate projektide käigus on saavutatud oskused koostööks ning suudetud kaardistada olulisemad ning tulemuslikumad sihtriigid. 
text114,"Ehitame üles koostööd, mitte ei võistle omavahel, sest Euroopas teatakse meie tootjaid Baltikumi nime all,“ rääkis Grikis."
text115,“Parimates meeskondades kuulavad meeskonna liikmed üksteist ning mõistavad teiste tundeid ja vajadusi.”
text116,"Päeva tulemusena arendate:
Meeskonnatööd
Strateegilist mõtlemist
Juhtimisoskust
Otsustusoskus"
text117,"Võistlused kestavad mitu päeva ning igal võistlusalal hinnatakse nii tehnilist sooritust, meeskonnatööd kui ka suhtlemist ja oskust töötada projektidega."
text118,"Samuti kirjeldatakse, et virtuaalne juht peaks olema hea suhtleja, algatusvõimeline, paindlik ning demonstreerima õppimis- ja muutumisvõimet."
text119,"Tundsin, et pean muutuma paremaks inimestega suhtlemises, ja saada sellises koguses kogemust ühe suvega tundus hea plaan. "
text120,"Eestlasele on kontaktide leidmine ja suhtlemine üritustel keeruline ülesanne, kuid kõik networkingu põhitõed on õpitavad."
text121,"See on oskus olla teadlik end mõjutavatest emotsioonidest, võime seda teadmist kasutada arusaadavalt ning mõistlikult nii eneseväljendamisel kui ka suhetes teistega. "
text122,"Suhtles aktiivselt, leidis õige Prantsuse esindaja, panustas ja panustab endiselt sotsiaalmeediasse, toodete degustatsioonidesse, erinevatesse võimalustesse tooteid esile tõsta."
text123,"Äri tehakse inimeste vahel. Naiste tugevuseks on sotsiaalsed oskused, mis tulevad ärimaailmas alati kasuks."
text124,"Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben."
text125,"Võistlused kestavad mitu päeva ning igal võistlusalal hinnatakse nii tehnilist sooritust, meeskonnatööd kui ka suhtlemist ja oskust töötada projektidega."
text126,"Kui varem sooviti kedagi, kes ütleb, kuidas tuleb teha ja kui mitu korda, siis nüüd eelistatakse neid juhte, kes lasevad endal mõelda ja samas toetavad töötajaid (põhimõte coach vs. Boss). "
text127,"Nüüd soovitakse selle asemel saada pidevat tagasisidet jutuajamiste, mitte nõrkuste analüüsi teel. "
text128,"Paljud ettevõtted on võtnud aluseks coaching conversations’i põhimõtted, mis keskenduvad eesmärkidele ja töötajate võimestamisele."
text129,"Töötaja võib näiteks ise märku anda, et praeguses rollis on lagi käes ja vaja oleks karjäärisihid üle vaadata. Või on tunda süvenevat rahulolematust, kuid puudub selgus, mida saaks teisiti teha. Siin saavad abiks olla ka väljastpoolt organisatsiooni kaasatud karjäärinõustajad ja coach’id."
text130,"Personali hulgas korraldati küsitlus, millest muu hulgas selgus, et suurenenud oli arusaamine ettevõtte eesmärkidest, stressiga toime tulemise oskus ja soov panustada raskemate probleemide lahendamisse."
text131,"Meie noored oskavad üksteisega paremini arvestada ja stressirohketes olukordades toime tulla nii, et meeskond jätkab efektiivset tegutsemist."
text132,"Personali hulgas korraldati küsitlus, millest muu hulgas selgus, et suurenenud oli arusaamine ettevõtte eesmärkidest, stressiga toime tulemise oskus ja soov panustada raskemate probleemide lahendamisse."
text133,"Paljud ettevõtted on võtnud aluseks coaching conversations’i põhimõtted, mis keskenduvad eesmärkidele ja töötajate võimestamisele."
text134,"International Coaching Federation toob välja järgmised erinevused: kui team building tegeleb põhiliselt suhete arendamisega ja treening uute oskuste omandamisega, siis team coaching arendab eesmärkide saavutamise oskusi ja meeskonna jätkusuutlikkust."
text135,"Kolmandaks oskavad nad kollektiivis toime tulla ja on orienteeritud meeskonnatööle, et täita ühist eesmärki."
text136,Mitmekülgne ja ennastjuhtiv töötaja on väärtus igale organisatsioonile ning arengu toetamine oluline osa töötaja karjääriteekonna kujundamisest.
text137,"Tisleritööd iseloomustab pigem iseseisev tegutsemine, mis nõuab oskust oma tegevust kavandada ja suurt enesedistsipliini."
text138,"Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben."
text139,"Oskuse luua selge ja kaasav strateegia, saavutada inimeste pühendumus, et viia ellu püstitatud eesmärgid ning juhtida muutusi."
text140,"Samuti kirjeldatakse, et virtuaalne juht peaks olema hea suhtleja, algatusvõimeline, paindlik ning demonstreerima õppimis- ja muutumisvõimet."
text141,Karin Künnapas: julgust asju ette võtta ei tasu alahinnata.
text142,"Tegemist on inimesega, kes on avatud muutustele nii koolis kui ka iseendas, alati valmis uuteks väljakutseteks ning leiab võimaluse ka kõige keerulisemate ideede elluviimiseks. "
text143,Mitmekülgne ja ennastjuhtiv töötaja on väärtus igale organisatsioonile ning arengu toetamine oluline osa töötaja karjääriteekonna kujundamisest.
text144,"Samuti kirjeldatakse, et virtuaalne juht peaks olema hea suhtleja, algatusvõimeline, paindlik ning demonstreerima õppimis- ja muutumisvõimet."
text145,"„Faktiteadmiste kõrval on üha olulisem õppimise vorm ning oskus erinevates olukordades hakkama saada,“ ütles Laidmets."
text146,"Tegemist on inimesega, kes on avatud muutustele nii koolis kui ka iseendas, alati valmis uuteks väljakutseteks ning leiab võimaluse ka kõige keerulisemate ideede elluviimiseks. "
text147,"72% juhtidest tõi kõige tähtsama tegurina välja oma töötajate kohanemisvõime, valmisoleku uusi oskusi omandada ja liikuda uude tööalasesse rolli. "
text148,"Sagedased muutused tööelus tähendavad ka valmisolekut töö käigus pidevalt uusi oskusi ja teadmisi omandada ning arengueesmärke seada, et suurendada nn karjääri kohanemisvõimet."
text149,"EY Aasta Ettevõtja konkursi patroon president Alar Karis lausus oma videotervituses, et Eesti ettevõtjad on vastupidavad ja sihikindlad, kes oskavad näha ja kasutada uusi võimalusi ka seal, kus teised käega löövad."
text150,"Samuti kirjeldatakse, et virtuaalne juht peaks olema hea suhtleja, algatusvõimeline, paindlik ning demonstreerima õppimis- ja muutumisvõimet."
text151,"Tegelikult on märksa olulisem probleemi lahendamise oskus ja tahe õppida, aga ka julgus eksperimenteerida ja eksida. "
text152,"72% juhtidest tõi kõige tähtsama tegurina välja oma töötajate kohanemisvõime, valmisoleku uusi oskusi omandada ja liikuda uude tööalasesse rolli. "
text153,"Sagedased muutused tööelus tähendavad ka valmisolekut töö käigus pidevalt uusi oskusi ja teadmisi omandada ning arengueesmärke seada, et suurendada nn karjääri kohanemisvõimet."
text154,"On leitud, et kõige enam suurendab töötaja karjääri kohanemisvõimet oskus vastavalt vajadusele kasutada erinevaid enda arendamise viise. Näiteks kogenumatelt kolleegidelt tagasisidet küsides, iseseisvalt infot juurde otsides, võimaluste avanedes täiendus- ja ümberõppes osaledes."
text155,"Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben."
text156,Ameerika on oma müügioskustelt Euroopast väga palju ees. 
text157,"Palju on juttu sellest, et eestlased pole head müügimehed ning meie müügioskused jätavad pehmelt öeldes soovida"
text158,Müügitöö on ühelt poolt töökus ja teiselt poolt oskus. 
text159,"Müümine on oskus ning maailmas on väga vähe ettevõtteid, mille kogemustepagas selles valdkonnas on suurem kui Southwesternil."
text160,"Vaatame seminaril otsa esinemishirmu tekkemehhanismidele ja viisidele, kuidas lühikeses ja pikas perspektiivis ärevusega paremini toime tulla."
text161,"Samuti vaatame, milline on hea avalik esinemine ja kuidas oma esinemisoskust parandada."
