id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,acr,trt,trs,trj,trl,kt,kj,kl,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
2516053,ETMM _ 8293 T 429:2216/Ar,Ткач из Сеговии.,429.0,paber,,teater,,1946,,ei,  ,,,,,,trükkimine,raamatu maht,lk,170,ETMM,_,8293.0,,,T,2216.0,Ar,1.0,,1.0,,,hea,,,raamat
2564758,,,,,,laulupeod,,23.06.1938,25.06.1938,ei,Eesti  Tallinn,,,,,,,,,,ETMM,_,8848.0,,,Mo,1.0,43:01:00,1.0,,1.0,,,hea,,,dokument
3417973,,,,,,teatrikriitika,,1923,1926,ei,  ,näitleja,"Üksip, Albert",,,,,dokumendi maht,lk,1,ETMM,_,5429.0,,,T,1.0,02:06,1.0,,1.0,,,hea,,,ajaleht
4291208,ETMM _ Fk 49978/r,"pildil: Harmoonium, omanik Juhan Jürme, ostetud Tallinnas, 1894",49978.0,fotomaterjal,,muusika,,1971,,ei,  ,autor,"Saarne, Henno",,,,,filmikaader,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB200222,,hea,,,fotonegatiiv
2746069,AM N 2917,8. Eesti Laskurkorpus. Nooremleitnant,2917.0,film,,portreteerimine,,,,,  ,,,,,,mustvalge fotograafia,negatiivi formaat,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,"Hõbepeegel üle kogu pinna, Plekid",hea,,,fotonegatiiv
3789203,ETMM _ 5906 T 93:1/113:42,Kiri Heino Vaksale R. Kuljuselt. 1940,93.0,paber,,teater,,16.02.1940,,ei,  ,autor,"Kuljus, Riivo",,,,masinal kirjutamine,dokumendi maht,leht,1,ETMM,_,5906.0,,,T,1.0,113:42:00,1.0,,1.0,,,hea,,,kiri
3489934,ETMM _ 6244 T 80:2/10:4,Pliiatsivisand. Lõunamaine aed. Tõenäoliselt dekoratsioonikavand.,80.0,paber,,teatrietendused,,,,,  ,autor,"Poland, Eduard",,,,pliiats,lehe kõrgus,cm,"25,2",ETMM,_,6244.0,,,T,2.0,10:04,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
2038995,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,6.0,,1.0,,,,,hea,,Saadud Boris Prorokovilt Moskvas.,foto
2455922,AM _ 860 F 901,"J. V. Stalin NSVL Ülemnõukogu saadikute - marssalite, kindralite ja admiralide keskel.",901.0,hõbeželatiinpaber,,sõjandus ja kaitse,,,,,NSVL  ,,,,,,,kõrgus,cm,"12,3",AM,_,860.0,,,F,,,1.0,,0.0,,,hea,,,foto
3536621,ETMM _ 9543 T 200:200/Ar,Lutikas,200.0,paber,,näitekirjandus,,,,,  ,autor,"Majakovski, Vladimir",,,,masinal kirjutamine,trükise maht,lk,63,ETMM,_,9543.0,,,T,200.0,Ar,1.0,,1.0,,,rahuldav,,,käsikiri
3632732,ETMM _ Fk 36117/r,"Madame Butterfly, Teater Estonia, 1951, osades: Linkerton – Viktor Gurjev",36117.0,film,,teater,,1951,,ei,  ,seosorganisatsioon,Rahvusooper Estonia,,,,mustvalge fotograafia,negatiivi formaat,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,,,rahuldav,,,fotonegatiiv
2981265,ETMM _ 12715:171 Mo 253:1/6:23,Grupifoto G. Otsa nimelise Tallinna Muusikakooli XLVII lennu lõpuaktus 1993. aastal,253.0,fotopaber,,kooliaktused,,1993,,ei,Eesti  Tallinn,seosorganisatsioon,Georg Otsa nimeline Tallinna Muusikakool,,,,mustvalge fotograafia,,,,ETMM,_,12715.0,171.0,,Mo,1.0,06:23,1.0,"Mo 253 kogu täiendamine fotodega, mis seni G. Otsa kooli arhiivkogus esindamata. Suurem vastuvõtt on seotud G. Otsa kooli 95. juubelipidustustega.",1.0,säilik 4,,hea,,,foto
4093350,ETMM _ 769 M 67:1/37:2,"Vihik ""Retseptid"": sisaldab fotoalaseid retsepte",67.0,paber,,isiklik ja pereelu,,,,,  ,koostaja,"Vedro, Adolf",,,,käsitsi kirjutamine,dokumendi maht,leht,19,ETMM,_,769.0,,,M,1.0,37:02:00,1.0,,1.0,,,hea,,,märkmed
2055007,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,20.0,,1.0,,,,,hea,,,foto
2333107,AM _ 33414 A 864:1,Käevõru,864.0,pronks,,,,,,,,,,,,,,,,,AM,_,33414.0,,,A,1.0,,1.0,"21.06.98 asulasse lõhutud kraavidest korjanud M.Mandel, H.Valk, H.Pauts, T.Toome, P.Talvar",,,,hea,,,arheoloogiline leid
3530851,,,,,,teatrietendused,linn Tallinn,1958,,ei,Eesti  ,seosorganisatsioon,Eesti Draamateater,,,,pliiats,,,,ETMM,_,8171.0,,,T,2.0,39:10:00,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
3038346,,,,,,teatrietendused,,1985,,ei,Eesti  Tallinn,seosorganisatsioon,Noorsooteater,,,,,kõrgus,cm,81,ETMM,_,11220.0,,,Af,91.0,T,1.0,,1.0,,Murdejoontega,rahuldav,,Tallinna Riikliku Konservatooriumi lavakunstikateedri XII lennu diplomilavastus. Alusteose autor Ludwik Jerzy Kern. S. Merima kujundatud värviline iluplakat. ,plakat
3203213,ETMM _ 8201 M 13:1/160:2,Kiri S.Laurilt,13.0,paber,,kirjavahetus,linn Viljandi,29.08.1926,,ei,Eesti  Viljandi,adressaat,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,160:02:00,1.0,,1.0,,,hea,,,kiri
3525721,,,,,,valmistamine,,,,,  ,autor,"Püüman, Kustav-Agu",,,,,,,,ETMM,_,12875.0,688.0,,T,2.0,80:34:00,1.0,"T412 Kustav-Agu Püümani teatrikavandid, arhiivmaterjalid, fotod",1.0,T412:2/80:34,,hea,,,kavand/joonis/eskiis
3367669,,,,,,kontsertreisid/tuurid,,,,,  ,seosisik,"Sisask, Urmas",,,,,dokumendi maht,leht,22,ETMM,_,12806.0,314.0,,M,1.0,12:32,1.0,Urmas Sisaski poolt üle antud arhiivmaterjalid M438:1,1.0,"M438:1/12:32
",,rahuldav,,,kava
2087319,,,,,,,,,,,,,,,,,,,,,ETMM,_,5475.0,,,T,1.0,28:101,1.0,,1.0,,,hea,,,kava
2051801,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,56.0,,1.0,,,,,hea,,,foto
3371159,AM F 33077:12,"Tallinna II Toidukaubastu kauplus ""Kallavere"", ca 1980.a. ",33077.0,hõbeželatiinpaber,,toidukaubandus,,1980,,ei,Eesti  Kallavere,,,,,,,kõrgus,cm,"24,2",AM,,,,,F,12.0,,1.0,"Majandusajaloo Muuseumi likvideerimiskomsjoni poolt üleantud asjad.
",1.0,,,hea,,,foto
3167434,ETMM _ 4868 Fk 6087/kl,"Boheem, Estonia, 1926, osades - Made Päts",6087.0,fotoemulsioon,,teater,,,,,  ,näitleja,"Päts, Made",,,,mustvalge fotograafia,kujutise kõrgus,cm,16,ETMM,_,4868.0,,,Fk,,kl,1.0,saadud TA Ajaloomuuseumilt 10.11.1948,1.0,,,rahuldav,,,fotonegatiiv
2725722,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,1.0,,1.0,,1.0,,,hea,,,foto
3195640,ETMM _ 7378 M 14:1/114:31,"Telegramm, Karl Leinus",14.0,paber,,telegraaf,,1965,1967,ei,  ,adressaat,"Leinus, Karl",,,,,,,,ETMM,_,7378.0,,,M,1.0,114:31:00,1.0,,1.0,,,rahuldav,,,telegramm
2510241,AM _ 25159:250 M,denaar,,hõbe,,valmistamine,linn Köln,983,1002,,  ,emiteerija,Otto III,,,,,kaal,g,1.32,AM,_,25159.0,250.0,,M,,,1.0,,,mündiaare,,määramata,,"Häv. 34; Ilisch 1990, S. 128 ff.",münt
2763572,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,hea,,,fotonegatiiv
4215146,,,,,,,,,,,,,,,,,,,,,ETMM,_,1222.0,,,Af,,M,1.0,,1.0,,,hea,,,plakat
2733565,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,3.0,,1.0,,1.0,,,hea,,,foto
2332176,AM _ 28409 A 583:102,Savinõukillud,583.0,savi,,,,,,,,,,,,,,,,,AM,_,28409.0,,,A,102.0,,1.0,Kaevanud M.Mandel 1987.a. Kultuurimaja asemelt,,,,hea,,,arheoloogiline leid
3282879,ETMM _ 4868 Fk 6286/kl,"Manon, Estonia, 1928",6286.0,hõbeželatiinemulsioon,,teater,,1928,,ei,  ,näitleja,"Aav-Loo, Ida",,,,mustvalge fotograafia,kujutise kõrgus,cm,12,ETMM,_,4868.0,,,Fk,,kl,1.0,Kultuuriministeerium ostis Gunnar Vaidla negatiivide kogu Gunnar Vaidla leselt 1999. aastal,1.0,,,rahuldav,,,fotonegatiiv
2712527,,,,,,teatrietendused,linn Rakvere,1953,,ei,Eesti  ,seosorganisatsioon,Rakvere Teater,,,,pliiats,,,,ETMM,_,5659.0,,,T,2.0,07:07,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
2738344,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,2.0,,1.0,,1.0,,,hea,,,foto
3472950,AM _ 8934 G 1612,Krahv v.Zeppelini haud Ludwigsburgis,1612.0,paber,,maastikud,,,,,  ,autor,tundmatu,,,,tempera,kõrgus,cm,43.5,AM,_,8934.0,,,G,,,1.0,,1.0,,"määrdunud, keskel tugev murdejoon",rahuldav,,,maal
3683695,ETMM _ 11015 T 60:2/245:10,Akvarell Mereema sarjast Muinasjutulised motiivid,60.0,paber,,graafika (kujutav kunst),,1979,,ei,Eesti  ,autor,"Uibo, Uno",,,,akvarell,kõrgus,cm,58.5,ETMM,_,11015.0,,,T,2.0,245:10:00,1.0,,1.0,,,hea,,,graafika
2752810,ETMM _ 6055 T 418:2/8:6,"Kostüümikavand Imelik, Kevade, Draamateater",418.0,papp,,teatrietendused,,23.02.1954,,ei,Eesti  Tallinn,teksti autor,"Luts, Oskar",,,,akvarell,laius,cm,"14,5",ETMM,_,6055.0,,,T,2.0,08:06,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
2160395,ETMM _ 11882 Fk 121784/k,Foto (negatiiv). Ludmilla Dombrovskaja. Foto Elmar Köster.,121784.0,film (materjal),Must-valge negatiiv,valmistamine,,1970,1980,ei,  ,,,,,,,kõrgus,mm,24,ETMM,_,11882.0,,,Fk,,k,1.0,,1.0,,,hea,,,fotonegatiiv
2813813,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,3.0,,1.0,,1.0,,,hea,,,fotonegatiiv
3662920,ETMM _ 10131 T 416:2/7:22,"Kostüümikavand tegelastele Tantsijad, mehed lavastusele Faust. Gounod, Vanemuine 1965",416.0,paber,,teatrietendused,,1965,,ei,  ,autor,"Pihlak, Liina",,,,segatehnika,,,,ETMM,_,10131.0,,,T,2.0,07:22,1.0,,1.0,,,hea,,,kavand/joonis/eskiis
2533405,,,,,,,,,,,,,,,,,,,,,ETMM,_,8492.0,,,Mo,1.0,33:02:00,1.0,,1.0,,,hea,,,kava
2442471,ETMM _ 8293 T 429:1200/Ar,"Raamat: Rudolf Sirge, Maa ja rahvas, ERK, Tallinn 1956",429.0,paber,,ilukirjandus,,,,,  ,autor,"Sirge, Rudolf",,,,,raamatu maht,lk,639,ETMM,_,8293.0,,,T,1200.0,Ar,1.0,,1.0,,,hea,,,raamat
4087665,ETMM _ 8540 Af 473:15/M,"Plakat, Tallinna kooride ühiskontserdid.
Tln. Kaubamaja naiskoori ja Eesti Energia meeskoori kontsert 27.02.1971 Eesti Energia saalis",473.0,paber,,,,,,,,,,,,,trükkimine,laius,cm,59.5,ETMM,_,8540.0,,,Af,15.0,M,1.0,,1.0,,,rahuldav,,,plakat
2084563,ETMM _ Fk 1092/d,"Reprofoto. ""Tubakatee"" (J. Kirkland). Draamateater 1939. Pearl - Olly Ungvere, Jeeter Lester - Johannes Kaljola, Ellie May - Salme Reek, Lov Bensey - August Sunne, Ada Lester - Aino Talvi.",1092.0,film (materjal),Must-valge diapositiiv (pöördnegatiiv),,,,,,,,,,,,,kõrgus,mm,24,ETMM,_,,,,Fk,,d,1.0,,0.0,,,hea,,Diapositiivid Johannes Kaljolast.,diapositiiv
2078454,AM N 5631:211,Vaade Toompeale Toompuiesteelt Balti jaama ja Paldiski mnt vahelt.,5631.0,fotomaterjal>emulsioon>hõbeželatiinemulsioon,,pildistamine,,,,,Eesti  Tallinn,,,,,,fotograafia>mustvalge fotograafia,laius,cm,18,AM,,,,,N,211.0,,1.0,,1.0,,,hea,,"Emulsioonil servas kirje: ""7994""",fotonegatiiv
3415592,,,,,,surm,,12.08.1966,,ei,  ,osaleja,"Üksip, Albert",,,,,dokumendi maht,leht,1,ETMM,_,8875.0,,,T,1.0,01:13,1.0,,1.0,,,hea,,,dokument
2057914,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,107.0,,1.0,,,,,hea,,,foto
2351597,AM _ 24261 M 1359,Medal,1359.0,vask,,valmistamine,linn Tallinn,1970,1980,,Eesti  ,autor,"Loik, Georgi",,,,,läbimõõt,mm,78,AM,_,24261.0,,,M,,,1.0,,,,,hea,,Tallinn,medal
2522094,AM _ 29147:662 M,penn,,biljoon,,rahandus,,1500,1550,ei,  ,,,,,,,kaal,g,0.32,AM,_,29147.0,662.0,,M,,,1.0,,,aardeleid metallnõus,,määramata,,,münt
3300317,ETMM _ 9982 T 187:679/Ar,Der Hüttenbesitzer,187.0,paber,,trükkimine/ avaldamine,linn Leipzig,,,,Saksamaa  ,kirjastaja,Philipp Reclam jun.,,,,trükkimine,raamatu maht,lk,93,ETMM,_,9982.0,,,T,679.0,Ar,1.0,,1.0,,,rahuldav,,Eesti Draamateater Tallinn,raamat
4028254,ETMM _ 9812 M 215:2/28:2,"""Kui mul on poeg"" häälele klaverisaatega",215.0,paber,,komponeerimine,,1967,,ei,  ,teksti autor,"Karmo, Heldur",,,,käsitsi kirjutamine,,,,ETMM,_,9812.0,,,M,2.0,28:02:00,1.0,,1.0,,,rahuldav,,,"käsikiri, laul/ vokaalmuusika"
3529189,,,,,,valmistamine,,,,,  ,autor,"Püüman, Kustav-Agu",,,,,,,,ETMM,_,12875.0,1068.0,,T,2.0,72:36:00,1.0,"T412 Kustav-Agu Püümani teatrikavandid, arhiivmaterjalid, fotod",1.0,T412:2/72:38,,hea,,,kavand/joonis/eskiis
4300296,,,,,,,,,,,,,,,,,,,,,ETMM,_,7669.0,,,Af,11.0,M,1.0,,1.0,,,hea,,,plakat
3059629,ETMM _ 8574 Gk 617,Õhtulehe karikatuurivõistluse töö Näitleja nimega lõvi....,617.0,paber,valge,karikatuurid,,1973,,ei,Eesti  ,,,,,,tušš,lehe kõrgus,cm,31.2,ETMM,_,8574.0,,,Gk,,,1.0,,1.0,,,hea,,Vasakul näitleja laval ja paremal kodus.,karikatuur
3010589,ETMM _ 8364 M 1:426/Ar,"Sonates pour Piano, nr.1-4, op.24, op.39, op.49, op.70",1.0,paber,,trükkimine/ avaldamine,linn Braunschweig,,,,Saksamaa  ,kirjastaja,Henry Litolff,,,,trükkimine,trükise maht,lk,70,ETMM,_,8364.0,,,M,426.0,Ar,1.0,,1.0,,,rahuldav,,Peeter Süda mälestuse jäädvustamise ühing,noodid
4295413,ETMM _ 10480 Fk 85194/k,"pildil: Hauad Viini keskkalmistul, Ludwig van Beethovenpildil: ",85194.0,fotomaterjal,,muusika,,1979,,ei,  ,seosorganisatsioon,Viini keskkalmistu,,,,,filmikaader,24 x 36 mm,1,ETMM,_,10480.0,,,Fk,,k,1.0,,1.0,TB010322,,hea,,,fotonegatiiv
3292372,ETMM _ 9982 T 187:440/Ar,Der Mohr des Zaren,187.0,paber,,trükkimine/ avaldamine,linn Leipzig,,,,Saksamaa  ,kirjastaja,Philipp Reclam,,,,trükkimine,raamatu maht,lk,80,ETMM,_,9982.0,,,T,440.0,Ar,1.0,,1.0,,,rahuldav,,ENSV Riiklik Avalik Raamatukogu,raamat
3194849,ETMM _ 7378 M 14:1/96:7,"Telegramm, Karl Leinus, 60. sünnipäevaks",14.0,paber,,sünnipäevad,,1949,,ei,  ,adressaat,"Leinus, Karl",,,,,,,,ETMM,_,7378.0,,,M,1.0,96:07:00,1.0,,1.0,,,rahuldav,,,telegramm
2738406,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,4.0,,1.0,,1.0,,,hea,,,foto
2762792,AM N 29511,Fotonegatiiv,29511.0,film,,,,,,,,,,,,,mustvalge fotograafia,negatiivi formaat,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,hea,,,fotonegatiiv
2773035,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,hea,,,fotonegatiiv
2133289,ETMM _ 8957 M 9:2/152:4,"Sööge vennad, jooge vennad",9.0,paber,,muusika,,,,,  ,,,,,,käsitsi kirjutamine,dokumendi maht,leht,2,ETMM,_,8957.0,,,M,2.0,152:04:00,1.0,Mart Saare isikukogu M9,1.0,"saksakeelse tõlkega, lõpetamata","koltunud, kulunud, narmendab",halb,,saksakeelse tõlkega lõpetamata käsikiri,"käsikiri, laul/ vokaalmuusika"
3647025,,,,,,,,,,,,,,,,,,,,,ETMM,_,7722.0,,,M,1.0,18:01,1.0,,1.0,,,rahuldav,,,kava
3540163,AM F 33250:41,Foto Rudolf Simka perealbumis. Maastik.,33250.0,hõbeželatiinpaber,,maastikud,,,,,Eesti  ,,,,,,,laius,cm,"8,6",AM,,,,,F,41.0,,1.0,Muuseumi juhiabile anti üle pööningult leidud fotoalbumid ja fotod. ,1.0,,"foto kleebitud albumisse, kohati on fotopaber tõmbunud laineliseks., foto kleebitud albumisse, kohati on fotopaber tõmbunud laineliseks.",hea,,,foto
1841262,ETMM _ 6212 Ar 23,Muusika õpperaamat keskkoolidele II,23.0,paber,,muusikaharidus,,,,,  ,autor,"Visnapuu, Eduard",,,,trükkimine,raamatu maht,lk,119,ETMM,_,6212.0,,,Ar,,,1.0,Eesti Teatri- ja Muusikamuuseumi arhiivraamatukogu: raamatud ja noodid,1.0,,,hea,,"Autori pühendus C.Kreegile, 1926",raamat
3380145,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,39.0,,1.0,Majandusmuuseumi esemete üleandmine AM põhikogusse sesoes likvideerimisega.,1.0,,,hea,,,foto
2335666,AM _ 36267 A 1026:28,nael,1026.0,raud,,,,,,,,,,,,,,,,,AM,_,36267.0,,,A,28.0,,1.0,"Uugla asulakoha 2005. a arheoloogiline kaevamine, leiud 1-322; 2006 a leiud 323 - 508. M. Mandel",,,,hea,,,arheoloogiline leid
3645635,ETMM _ 11298 M 99/128:19,"Postkaart, Weimari Liszti muuseum",99.0,paber,,kultuur,,,,,  ,seosisik,"Kapp, Eugen",,,,,,,,ETMM,_,11298.0,,,M,,128:19:00,1.0,,1.0,,,hea,,,postkaart
2072222,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,102.0,,1.0,,,,,hea,,,foto
4124421,ETMM _ 8435 M 104:2/105:5,"""Mänd"" (""На севере диком"") naiskoorile a cappella",104.0,käsitsi valmistatud paber,,komponeerimine,,,,,  ,tõlkija,"Sang, August",,,,käsitsi kirjutamine,,,,ETMM,_,8435.0,,,M,2.0,105:05:00,1.0,,1.0,,,rahuldav,,,"käsikiri, laul/ vokaalmuusika"
2053026,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,179.0,,1.0,,,,,hea,,,foto
2312817,AM _ 13749 A 106:20,Odaots,106.0,raud,,,,,,,,,,,,,,,,,AM,_,13749.0,,,A,20.0,,1.0,"Leitud purustatud kivikalmest 1910-11, kaevanud A. Friedenthal 1911.a. ""Kabelimägi""",,,,hea,,,arheoloogiline leid
2322685,AM _ 29884 A 580:6199,Keti jupid,580.0,pronks,,,,,,,,,,,,,,,,,AM,_,29884.0,,,A,6199.0,,1.0,Saadud Mati Mandeli juhatatud kaevamistel 1983-1990 aastatel. (II kaevand),,,,hea,,,arheoloogiline leid
1394659,ETMM _ 12371:40 M 200:1/2:14,Tallinna 18.algkool,200.0,paber,,haridus,,1933,1934,ei,  ,omanik,"Mägi, Ester",,,,,,,,ETMM,_,12371.0,40.0,,M,1.0,02:14,1.0,Ester Mägi isikukogu märtsis 2010. üleantud E. Mägi poolt,,"IVb klass,1932/33",,rahuldav,,,dokument
1882218,,,,,,KVIS sündmus puudub,,,,,  ,fotograaf,J. & P. Parikas,,,,,,,,ETMM,_,4868.0,,,Fk,,kl,1.0,,1.0,,,määramata,,,fotonegatiiv
4266427,,,,,,,,,,,,,,,,,,,,,ETMM,_,8540.0,,,Af,6.0,M,1.0,,1.0,,,hea,,,plakat
4271244,,,,,,,,,,,,,,,,,,,,,ETMM,_,6959.0,,,Af,3.0,M,1.0,,1.0,,,rahuldav,,,plakat
3650212,ETMM _ 7163 T 10:3/538:15,"Foto Estonia teatri operetilavastusest Linnukaupleja, 1943",10.0,fotopaber,,teatrietendused,linn Tallinn,1943,,ei,Eesti  ,helilooja,"Zeller, Carl",,,,mustvalge fotograafia,kõrgus,cm,"8,5",ETMM,_,7163.0,,,T,3.0,538:15:00,1.0,,1.0,,,hea,,,foto
3199850,ETMM _ 8201 M 13:1/133:4,Kiri Aino Tammele täditütrelt (isa poolt) ja ristitütrelt Aino Kaskilt,13.0,paber,,kirjavahetus,,06.12.1930,,ei,Eesti  Lasinurme,adressaat,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,133:04:00,1.0,,1.0,,,hea,,,kiri
205383,ETMM _ 8248 M 351:2/67:1,"Lähme lauldes -lastelaul, sõn.P-Rummo   ",351.0,paber,,kultuur,,,,,  ,autor,"Rummo, Paul",,,,käsitsi kirjutamine,,,,ETMM,_,8248.0,,,M,2.0,67:01:00,1.0,,1.0,,,rahuldav,mitmevärviline,Lähme lauldes              ,käsikiri
2842617,ETMM _ 6212 M 11:1/105:2,Kirjad C. Kreegile J. Saar'elt,11.0,paber,,dokumenteerimine,,18.02.1922,,ei,Eesti  Tallinn,seosisik,"Kreek, Cyrillus",,,,,,,,ETMM,_,6212.0,,,M,1.0,105:02:00,1.0,,1.0,,,hea,,,postkaart
3348477,AM _ 6783 G 1965,"maal, Vaade Tallinnale merelt",1965.0,kartong,,linnad,,,,,  ,autor,"Hau, Johannes",,,,guašš,kõrgus,cm,25,AM,_,6783.0,,,G,,,1.0,,1.0,,hõõrdumisi ja plekke,rahuldav,,,maal
2728865,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,1.0,,1.0,,1.0,,,hea,,,postkaart
3166155,AM _ 13738:675/3 P 2972,Pitser vapiga,2972.0,orgaaniline aine,lakk,valmistamine,,1701,1800,ei,  ,,,,,,,diameeter,cm,"2,1",AM,_,13738.0,675.0,3,P,,,1.0,Õpetatud Eesti Seltsi kogust,1.0,,Mõranenud,rahuldav,,R. Vitali Baadenist (sünd Thörner - Tartust),pitser/templijäljend
2935157,,,,,,juubelisünnipäevad,,1977,,ei,  ,osaleja,"Markus, Vambola",,,,mustvalge fotograafia,,,,ETMM,_,12709.0,943.0,,T,3.0,0.310416667,1.0,Carmen Mikiveri ca 2010 üle antud Mikk Mikiveri fotokogu,1.0,,,hea,,,foto
2329142,AM _ 33635 A 808:607,Küünlajalg,808.0,raud,,,,,,,,,,,,,,,,,AM,_,33635.0,,,A,607.0,,1.0,Kaevanud M.Mandel 1997.a.,,,,hea,,,arheoloogiline leid
2071203,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,84.0,,1.0,,,,,hea,,,foto
3901391,ETMM _ 12142:39/14 T 232:1/23:14,Leo Kalmeti Draamateatri ETÜ sektsiooni dokumendid,232.0,paber,,teater,,1959,1964,ei,Eesti  ,seosorganisatsioon,Eesti Draamateater,,,,,,,,ETMM,_,12142.0,39.0,14,T,1.0,23:14,1.0,,1.0,"esimees L. Kalmet;koosolekute protokollid tööplaanid, -kavad; eelarved, aruanded; ETÜ teadeanded ja  Draamateatri sektsiooni teadeanded; loominguliste komandeeringute Leningradi eelarved, teadaanded, aruanded, osavõtjate nimekirjad; kvalifikatsiooni tõstmise (hääleseaded, poliitõppused, vene keel, kehatehnika jms); ETÜ sektsiooni liikmete nimekirjad; 1959 - 1964",,hea,,"esimees L. Kalmet;koosolekute protokollid tööplaanid, -kavad; eelarved, aruanded; ETÜ teadeanded ja  Draamateatri sektsiooni teadeanded; loominguliste komandeeringute Leningradi eelarved, teadaanded, aruanded, osavõtjate nimekirjad; kvalifikatsiooni tõstmise (hääleseaded, poliitõppused, vene keel, kehatehnika jms); ETÜ sektsiooni liikmete nimekirjad; 1959 - 1964",dokument
