station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
609,,,,,,,,,,,0.0,0.0,0.0,51.0,,,0.0,0.0,457.0,573.0,,,,,0.0,0.0,,,22.0,20.0,10.0,30.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.4,7.3,0.0,0.0,0.0
2108,10.0,10.0,0.05,0.05,0.1,0.1,1.0,1.4,,,0.0,0.0,300.0,6.0,,,0.0,0.0,367.0,441.0,0.0,0.0,,,0.0,0.0,0.1,0.1,50.0,20.0,12.0,10.0,1.1,1.2,0.01,0.002,1.0,1.0,0.8,1.0,,,2.0,2.6,1.8,2.0,,,1.0,1.0,2.0,1.0,7.6,7.6,0.0,0.0,0.0
314,,,0.07,0.05,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,595.0,606.0,,,,,0.0,0.0,,,62.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.3,0.0,0.0,0.0
1666,,,,0.05,,,,,,,,,,,,,,0.0,,623.0,,0.0,,,,0.0,,,,20.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.5,,0.0,0.0
1665,,,0.22,0.21,,,,21.7,,,0.0,0.0,0.0,3.0,,,9.9,9.0,648.0,654.0,0.0,0.0,,,0.0,0.0,,0.35,,545.0,,44.6,,1.0,,0.01,1.0,1.0,,1.7,,,,,,15.3,,,1.0,1.0,2.89,2.92,7.72,7.83,0.0,1.0,0.0
906,,,,,,,,,,,0.0,0.0,0.0,14.0,5.0,5.0,,,467.0,492.0,,,,,0.0,0.0,,,,20.0,,20.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,7.36,7.48,0.0,0.0,0.0
1133,,,0.014,,,,,,,,0.0,0.0,,50.0,,,5.0,5.0,482.0,500.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.54,2.24,8.0,7.8,0.0,0.0,1.0
1413,10.4,,0.15,,0.905,,20.0,,0.0,,,0.0,10.0,8.0,,,2.0,3.0,534.0,623.0,0.0,,0.0,,,0.0,0.66,,20.0,130.0,153.0,37.0,0.45,,0.01,,1.0,,0.8,,,1.0,49.0,,32.0,,,1.0,1.0,,1.0,0.5,7.4,7.51,1.0,0.0,0.0
297,,,0.05,0.05,,,,,,,0.0,0.0,0.0,12.0,,,0.0,0.0,498.0,497.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.4,0.0,0.0,0.0
1223,,,0.05,,,,,,,,0.0,0.0,130.0,0.0,,,0.0,0.0,553.0,567.0,0.0,,,,0.0,0.0,,,162.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.4,0.0,0.0,0.0
1244,,5.0,0.19,0.21,,0.084,,,,,9.0,0.0,5.0,,,,10.2,10.3,312.0,306.0,0.0,,,,0.0,0.0,,,52.9,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,0.95,0.5,7.68,7.65,1.0,0.0,0.0
940,,5.0,,0.21,,0.2,,43.0,0.0,16.0,,,0.0,0.0,,,3.0,4.0,381.0,379.0,,0.0,0.0,0.0,,,,0.73,135.0,200.0,,136.8,,0.5,,0.01,2.0,4.0,,0.8,,,,36.2,,9.0,,,2.0,4.0,1.0,1.0,7.8,8.0,0.0,1.0,1.0
1379,,,,,,,,,,0.0,0.0,,0.0,0.0,,,5.0,5.0,569.0,531.0,,0.0,,0.0,0.0,,,,44.0,69.0,10.0,12.0,,,,,,,,,,,,,,,,,,,0.5,0.5,7.5,7.4,0.0,0.0,0.0
368,,,,,,,,,0.0,0.0,,,0.0,0.0,,,3.0,5.0,626.0,581.0,,,0.0,0.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,2.0,1.0,1.0,7.4,7.6,0.0,0.0,0.0
1378,,,0.14,0.24,,,,,,,0.0,0.0,31.0,300.0,,,0.0,0.0,354.0,462.0,0.0,0.0,,,0.0,0.0,,,135.0,43.0,18.0,16.0,,,,,1.0,1.0,1.6,2.6,,,102.0,85.0,1.0,1.0,,,1.0,1.0,1.6,1.0,7.7,7.5,0.0,0.0,0.0
1082,,5.0,,0.05,,0.5,,13.0,0.0,33.0,,,186.0,300.0,,,3.0,5.0,478.0,547.0,,0.0,0.0,0.0,,,,1.1,40.0,48.0,,5.8,,0.5,,0.01,2.0,2.0,,2.3,,,,32.9,,3.0,,,2.0,2.0,1.0,1.0,7.9,7.8,0.0,1.0,0.0
839,,5.0,0.05,0.05,,0.161,,81.0,,1.0,,,,5.0,,,2.0,5.0,450.0,507.0,,0.0,,0.0,,,,0.67,20.0,44.0,3.8,20.0,,0.48,,0.01,1.0,4.0,0.64,0.88,,,45.2,43.7,17.0,17.0,,,,4.0,1.0,2.3,7.8,8.0,0.0,1.0,0.0
583,,,,,,,,,,,0.0,0.0,87.0,16.0,,,0.0,0.0,462.0,467.0,,0.0,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.6,7.3,0.0,0.0,0.0
1896,,,1.07,0.99,,,,,,,0.0,80.0,4.0,,,,,8.2,,762.0,0.0,,,,0.0,0.0,,,648.0,750.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.68,,7.83,1.0,1.0,1.0
433,,,0.05,,,,,,,,0.0,0.0,0.0,56.0,,,0.0,0.0,357.0,507.0,,,,,0.0,0.0,,,48.0,20.0,,28.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.2,1.0,8.1,7.4,0.0,0.0,0.0
989,5.0,,0.21,,0.002,,128.0,,1.0,0.0,,,23.0,15.0,,,4.0,4.0,717.0,693.0,0.0,,0.0,0.0,,,0.38,,23.0,29.0,63.0,29.0,0.86,,0.01,,2.0,2.0,0.8,,,,55.2,,5.0,,,,2.0,2.0,1.0,1.0,7.6,7.8,1.0,0.0,1.0
1352,4.0,5.0,0.05,0.24,0.566,0.556,14.0,42.0,,,,,,,,,2.0,2.0,156.0,446.0,,,,,,,0.28,0.81,17.0,165.0,4.0,19.0,0.45,0.45,0.01,0.01,2.0,4.0,1.4,0.64,,,16.7,49.3,3.0,7.0,,,2.0,4.0,1.0,1.0,7.5,7.9,0.0,0.0,0.0
828,,,,0.22,,,,,0.0,0.0,,,12.0,19.0,,,2.0,3.0,590.0,623.0,,,0.0,0.0,,,,,52.0,50.0,80.0,106.0,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,7.7,7.9,1.0,1.0,0.0
1097,,,0.05,0.25,,,,98.0,0.0,0.0,,,14.0,132.0,,,2.0,2.7,556.0,601.0,,0.0,0.0,0.0,,,,0.73,40.0,350.0,5.0,40.0,,0.5,,0.01,2.0,4.0,,2.4,,,,40.2,,20.0,,,2.0,4.0,1.5,1.5,8.0,8.4,0.0,1.0,0.0
381,,,0.05,0.05,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,329.0,580.0,,,,,0.0,0.0,,,20.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.4,7.5,0.0,0.0,0.0
2301,,5.0,,0.05,,0.072,,107.0,0.0,0.0,,,300.0,32.0,,,3.0,4.0,591.0,650.0,0.0,0.0,0.0,0.0,,,,0.61,40.0,99.0,27.0,5.0,,0.45,,0.01,2.0,2.0,,0.8,,,,53.5,,9.0,,,2.0,2.0,1.0,1.0,7.6,8.0,0.0,0.0,0.0
957,,,0.62,,,,,,,,0.0,0.0,,0.0,,,5.3,4.4,762.0,730.0,,,,,0.0,0.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,3.0,2.0,0.5,0.76,7.49,7.35,1.0,0.0,0.0
1173,,,,,,,,,,0.0,,,,3.0,,,,4.0,,473.0,,,,0.0,,,,,,17.0,,5.0,,,,,,2.0,,,,,,,,,,,,2.0,,1.0,,7.8,,0.0,0.0
201,10.0,,0.05,,0.1,,3.2,,,,0.0,,0.0,,,,0.0,,504.0,,0.0,,,,0.0,,0.2,,20.0,,10.0,,1.0,,0.002,,1.0,,0.9,,,,7.0,,64.0,,,,1.0,,1.0,,7.5,,0.0,,0.0
232,,,,,,,,,,,0.0,0.0,0.0,4.0,,,0.0,0.0,442.0,444.0,,,,,0.0,0.0,,,50.0,30.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.1,7.5,0.0,0.0,0.0
683,,,0.05,0.05,,,,,0.0,0.0,,,,,,,3.0,2.0,679.0,645.0,,,0.0,0.0,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,4.0,2.0,1.0,1.0,7.3,7.3,0.0,0.0,0.0
848,,,,,,,,,,0.0,,,,0.0,,,,6.0,,474.0,,,,0.0,,,,,,25.0,,5.0,,,,,,2.0,,,,,,,,,,,,2.0,,1.9,,7.8,,0.0,0.0
163,5.0,5.0,0.08,0.08,0.071,0.062,130.0,102.0,,0.0,0.0,0.0,12.0,12.0,,,11.7,12.1,716.0,671.0,0.0,0.0,,0.0,0.0,0.0,0.49,0.49,109.4,98.0,30.0,30.0,1.0,1.0,0.005,0.005,1.0,1.0,0.45,1.6,,,62.5,38.8,12.4,14.3,,,1.0,1.0,1.18,1.9,8.17,8.12,0.0,0.0,0.0
2068,,,,,,,,,0.0,,,,108.0,,,,6.0,,336.0,,,,0.0,,,,,,26.0,,5.0,,,,,,2.0,,,,,,,,,,,,2.0,,1.0,,7.7,,0.0,,1.0
1463,,,0.05,0.05,,,,,,,0.0,0.0,161.0,21.0,,,0.0,0.0,316.0,246.0,0.0,0.0,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,0.8,1.3,,,78.0,84.0,2.3,1.8,,,,,1.0,1.0,7.7,7.8,0.0,0.0,0.0
1112,15.9,,0.08,0.08,0.01,,,,,,0.0,0.0,,,,,17.2,13.5,200.0,191.6,,,,,0.0,0.0,,,,,,,,,,,1.0,2.0,,,,,3.6,,,,,,1.0,2.0,0.62,1.8,7.96,7.9,0.0,0.0,0.0
676,,5.0,,0.11,,0.8,,53.0,,,0.0,0.0,300.0,9.0,,,5.6,4.0,662.0,691.0,0.0,0.0,,,0.0,0.0,,0.58,,71.0,,30.0,,1.0,,0.004,2.0,1.0,,1.92,,,,94.1,17.2,20.0,,,2.0,1.0,0.58,2.3,7.98,8.02,1.0,0.0,0.0
622,,,0.08,0.09,,,,,,,0.0,0.0,0.0,,,,15.0,7.0,961.0,942.0,0.0,,,,0.0,0.0,,,513.0,97.8,30.0,52.1,,,,,4.0,8.0,,,,,,,,,,,4.0,5.0,2.08,0.76,7.92,7.86,1.0,0.0,0.0
531,,,0.05,,,,,,,,0.0,,,,,,0.0,,322.0,,,,,,0.0,,,,30.0,,10.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.4,,0.0,,0.0
907,,,,,,,,,,,0.0,0.0,0.0,10.0,5.0,5.0,,,530.0,560.0,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,7.41,7.18,0.0,0.0,0.0
327,,,,0.05,,,,,,,,0.0,,0.0,,,,0.0,,709.0,,,,,,0.0,,,,20.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.3,,0.0,0.0
1713,,,0.05,0.5,,,,,0.0,,,0.0,,0.0,5.0,5.0,,,477.0,535.0,,,0.0,,,0.0,,,75.0,116.0,,,1.06,1.2,0.004,0.008,,,,,0.0,0.0,,,,,0.0,0.0,,,,,7.57,8.06,0.0,0.0,0.0
751,4.0,,0.08,0.08,0.257,,361.0,,,0.0,0.0,0.0,8.0,68.0,,,21.4,19.9,1394.0,877.0,0.0,0.0,,0.0,0.0,0.0,0.82,,219.0,,33.0,,1.0,,0.009,,1.0,1.0,1.02,,,,178.9,,4.8,,,,1.0,1.0,1.46,2.46,7.98,7.86,1.0,0.0,1.0
1052,,,,0.05,,,,,0.0,0.0,,,24.0,10.0,,,3.0,3.0,551.0,607.0,,,0.0,0.0,,,,,30.0,46.0,5.0,5.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.7,7.9,0.0,0.0,0.0
956,,,0.15,,,,,,,,0.0,0.0,,4.0,,,4.2,5.2,745.0,753.0,,,,,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,0.5,0.57,7.34,7.4,0.0,0.0,0.0
418,,,0.05,,,,,,,,0.0,,0.0,,,,0.0,,439.0,,0.0,,,,0.0,,,,91.0,,71.0,,1.0,,0.003,,1.0,,2.7,,,,18.0,,51.0,,,,,,1.0,,7.6,,1.0,,0.0
226,,,0.09,0.1,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,397.0,418.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,1.0,1.1,1.8,,,6.5,6.2,3.1,3.8,,,,,,1.0,7.3,7.3,0.0,0.0,0.0
1256,,,,,,,,,,0.0,,,,222.0,,,,2.0,,596.0,,0.0,,0.0,,,,,,35.0,,5.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.8,,0.0,0.0
1030,,,0.05,,,,,,0.0,,,,11.0,,,,13.0,,455.0,,,,0.0,,,,,,110.0,,5.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.6,,0.0,,0.0
482,10.0,10.0,0.05,0.05,0.3,0.3,1.9,2.1,,,2.0,0.0,0.0,0.0,6.1,3.5,0.0,0.0,473.0,476.0,0.0,0.0,,,2.0,0.0,1.0,1.0,20.0,20.0,10.0,10.0,1.0,1.0,0.002,0.002,1.0,1.0,1.5,1.4,0.0,0.0,15.0,15.0,5.0,5.7,0.0,0.0,1.0,1.0,1.0,1.0,7.9,7.9,1.0,0.0,0.0
218,,,0.38,,,,,,,,0.0,,,,,,0.0,,428.0,,,,,,0.0,,,,105.0,,21.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.2,,7.3,,0.0,,0.0
340,,,0.05,0.042,,,,,,0.0,0.0,,0.0,1.0,,,2.0,3.0,782.0,752.0,0.0,0.0,,0.0,0.0,,,,11.0,189.0,5.0,25.0,,1.0,,0.003,1.0,1.0,1.2,,,,64.2,,28.0,,,,,1.0,1.0,1.6,7.6,8.03,0.0,0.0,0.0
277,10.0,10.0,0.05,0.05,0.1,0.1,24.0,15.0,,,0.0,0.0,7.0,19.0,,,0.0,0.0,636.0,631.0,0.0,0.0,,,0.0,0.0,0.3,0.3,25.0,43.0,10.0,10.0,2.0,4.2,0.002,0.005,1.0,1.0,1.3,2.3,,,13.0,6.9,60.0,75.0,,,1.0,1.0,1.3,1.0,7.6,7.5,0.0,0.0,0.0
1939,,,0.05,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,388.0,347.0,,,,,0.0,0.0,,,20.0,608.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,6.4,7.6,7.5,0.0,1.0,0.0
282,,,0.05,,,,,,,,100.0,0.0,102.0,0.0,,,0.0,0.0,633.0,660.0,0.0,0.0,,,0.0,0.0,,,,,10.0,10.0,,,,,1.0,,1.1,1.3,,,16.0,14.0,29.0,1.0,,,,1.0,1.0,1.0,7.2,7.2,1.0,0.0,0.0
607,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,396.0,510.0,,,,,0.0,0.0,,,20.0,174.0,10.0,55.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.7,7.6,7.4,0.0,1.0,0.0
197,10.0,,0.05,,0.1,,1.8,,,,0.0,0.0,4.0,0.0,,,0.0,0.0,557.0,558.0,0.0,,,,0.0,0.0,0.2,,30.0,20.0,17.0,10.0,2.0,,0.002,,1.0,1.0,0.9,,,,8.0,,3.4,,,,1.0,1.0,1.0,1.0,7.7,7.5,0.0,0.0,0.0
835,,,0.21,0.05,,,,,0.0,1.0,,,25.0,300.0,,,3.0,6.0,970.0,1303.0,,,0.0,0.0,,,,,48.0,142.0,5.0,237.0,,,,,4.0,2.0,,,,,,,,,,,4.0,2.0,1.0,2.6,7.9,8.1,0.0,1.0,1.0
1692,,,,,,,,,,,,0.0,,0.0,,,,0.0,,389.0,,,,,,0.0,,,1360.0,20.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,8.0,1.0,0.0,1.0
287,20.0,,0.05,,0.3,,3.8,,,,0.0,,0.0,,,,0.0,0.0,129.0,369.0,0.0,,,,0.0,,0.6,,20.0,,10.0,,1.0,,0.002,,1.0,1.0,1.0,,,,35.0,,2.9,,,,1.0,1.0,1.0,1.0,8.6,7.7,0.0,0.0,1.0
231,,,,,,,,,,,0.0,0.0,0.0,10.0,,,0.0,0.0,500.0,503.0,,,,,0.0,0.0,,,42.0,132.0,10.0,49.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,6.7,7.3,0.0,0.0,0.0
1042,,,0.05,0.06,,,,,,,0.0,0.0,0.0,122.0,,,,0.0,435.0,514.0,0.0,0.0,,,0.0,0.0,,,,171.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.9,7.7,7.5,0.0,0.0,0.0
703,9.1,,0.19,0.13,0.035,,12.0,,0.0,0.0,,0.0,279.0,26.0,,,7.0,6.0,622.0,626.0,0.0,0.0,0.0,0.0,,0.0,0.22,,80.0,120.0,33.8,29.0,0.45,,0.01,,4.0,2.0,1.7,4.0,,1.0,9.0,,23.0,,,1.0,4.0,2.0,1.1,1.0,7.4,7.3,0.0,0.0,0.0
1306,,,,,,,,,0.0,0.0,,,24.0,3.0,,,4.0,5.0,354.0,427.0,,,0.0,0.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,7.3,7.4,0.0,0.0,0.0
1040,,,,0.29,,,,,,0.0,,,,117.0,,,,11.0,,274.0,,0.0,,0.0,,,,,,290.0,,46.0,,,,,,4.0,,1.4,,,,15.4,,3.0,,,,4.0,,4.2,,8.1,,1.0,1.0
1028,,,0.29,0.35,,,,5.0,0.0,0.0,,,24.0,19.0,,,2.0,2.1,320.0,287.0,,0.0,0.0,0.0,,,,,42.0,25.0,9.0,11.0,,,,,2.0,2.0,,1.3,,,,6.4,,,,,2.0,2.0,1.3,1.0,7.8,8.0,0.0,0.0,0.0
802,,,,,,,,,,,,0.0,,0.0,,,,10.0,,501.0,,,,,,0.0,,,,112.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.54,,7.42,,0.0,0.0
1450,,5.0,,0.08,,0.73,,80.0,,0.0,0.0,,,0.0,,,,6.0,,692.0,,0.0,,0.0,0.0,,,2.12,,180.0,,2.0,,0.45,,0.01,,2.0,,1.1,,,,85.9,,54.0,,,,,,1.0,,7.9,0.0,1.0,0.0
1108,,,,,,,,,0.0,0.0,,,145.0,36.0,,,4.0,9.0,626.0,635.0,,,0.0,0.0,,,,,,20.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,7.4,7.8,0.0,0.0,1.0
866,4.0,,0.05,,0.075,,16.0,,0.0,0.0,,,24.0,0.0,,,4.0,4.0,559.0,665.0,0.0,,0.0,0.0,,,0.44,,21.0,23.0,2.0,,0.56,,0.01,,4.0,1.0,1.7,,,,10.7,,5.0,,,,4.0,1.0,3.3,1.0,7.3,7.4,0.0,0.0,0.0
2208,5.0,,,,0.113,,,,0.0,0.0,,,4.0,194.0,,,3.0,2.0,479.0,538.0,,,0.0,0.0,,,,,120.0,71.0,59.2,57.4,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.8,2.4,7.6,7.9,1.0,1.0,1.0
210,,,0.05,0.05,,,,,,,0.0,0.0,0.0,4.0,,,0.0,0.0,343.0,504.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.4,7.2,0.0,0.0,0.0
708,,,,0.05,,,,,,,,0.0,,1.0,,,,5.0,,629.0,,0.0,,,,0.0,,,,30.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,0.5,,7.19,,0.0,0.0
1364,,,0.05,,,,,,,,0.0,0.0,21.0,0.0,,,0.0,0.0,617.0,610.0,,,,,0.0,0.0,,,20.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.3,0.0,0.0,0.0
331,10.0,,0.05,0.05,0.1,,1.9,,,,0.0,0.0,0.0,,,,0.0,0.0,553.0,526.0,0.0,,,,0.0,0.0,0.1,,51.0,20.0,10.0,10.0,1.0,,0.002,,1.0,1.0,1.7,,,,3.4,,2.1,,,,1.0,1.0,1.0,1.0,7.2,7.2,0.0,0.0,1.0
1147,,5.0,,0.41,,0.07,,8.0,,,,,4.0,,,,,3.0,,225.0,,,,,,,,0.4,,19.0,,7.2,,0.45,,0.01,,2.0,,1.4,,,,21.1,,3.0,,,,2.0,,1.0,,8.0,0.0,0.0,0.0
196,,5.0,0.14,0.08,,0.7,,14.4,,,0.0,0.0,0.0,3.0,,,3.2,5.4,599.0,620.0,0.0,0.0,,,0.0,0.0,,0.52,,44.8,,30.0,,1.0,,0.004,1.0,2.0,,0.78,,,,66.0,,18.2,,,1.0,2.0,0.5,0.54,7.84,7.86,0.0,0.0,0.0
1158,,,0.15,,,,,,0.0,,,,,,,,9.0,,353.0,,,,0.0,,,,0.44,,280.0,,19.0,,,,,,4.0,,,,,,,,,,,,4.0,,1.0,,7.8,,1.0,,0.0
613,,,,0.05,,,,,,,,0.0,,46.0,,6.1,,,,336.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.6,,7.4,,0.0,0.0
